category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;;soleil à mi-ombre;Caprifoliacées;août à septembre;pourpre;semi-persistant;40 à 80 cm;Knautia macedonica;automne, printemps;Balkans;plante vivace à fleurs;divisions, semis, bouture;;rustique jusquà -16°C;neutre à basique;normal à sec;tolérant, argileux-limoneux à calcaire;;;;jardin naturel, jardin de gravier, massif;vivace herbacée
;;;ombre à mi-ombre;Labiacées, Lamiacées, Labiées;juin, juillet;rose, pourpre;semi-persistant;40 à 80 cm;Lamium orvala;divisions, bouture, semis;Europe centrale, Balkan;plante fleurie;printemps, automne;;très rustique, -23°C;légèrement acide à légèrement basique;ne doit pas dessécher;sol relativement pauvre et drainant;;;;massif, jardin informel;vivace
;;le botrytis;plein soleil;Labiacées, Lamiacées, Labiées;de mai à août selon les variétés, fleurs parfumées et mellifère qui attirent les abeilles;bleu, mauve, violet, blanc;persistant;de 30 à 100 cm selon les variétés;Lavandula;semis au printemps, bouturage en juillet-août en prélevant des rameaux de 5 cm que vous planterez dans une mini-serre;Bassin méditerranéen, îles Canaries, Afrique du nord, Inde, Asie du sud-est;arbrisseau;printemps;;de -15 à -20°C pour les plus rustiques, Lavandula stoechas commence à souffrir à partir de -5°C, protéger les les Lavandes en pot;neutre;normal à sec;ordinaire, légère, drainé, voir pauvre;;Indispensable. Pratiquez une taille après la floraison pour lui garder sa forme ronde. En vieillissant, la lavande a tendance à se dégarnir à la base, surtout si elle n'a pas été régulièrement taillée. Mieux vaut dans ce cas, remplacer le pied, car une taille sévère ne donne rarement de bons résultats, les percements sur le vieux bois étant rares.;La lavande est connue depuis la nuit des temps pour son parfum et ses propriétés apaisantes et antiseptiques.;massif, bordure, haie basse, talus, bac, fleurs coupées à prélever avant l'ouverture, pots-pourris;vivace
;;les araignées rouges et les aleurodes en serre;plein soleil;Labiacées, Lamiacées, Labiées;d'août à octobre;blanc, orange;semi-persistant;de 1 à 2 m;Leonotis leonorus;semis au chaud en avril, bouturage en juin;Afrique du sud;fleur;printemps;;non rustique;neutre;normal;riche en humus, bien drainé;;rabattez la plante au début du printemps;;massif, pot, serre froide, fleurs coupées;vivace souvent cultivée en annuelle
;;escargots, limaces, pucerons;plein soleil;Astéracées, Composées;d'avril à juillet;Blanc;caduc;jusqu'à 20 cm;Leontopodium alpinum;semis sous chassis froid à l'obtention des graines;Montagnes d'Europe;fleur;printemps;;très rustique;neutre à alcalin;normal;bien drainé, mélange de terreau et de graviers;;pas de taille nécessaire;;rocaille, pot, jardinière, balcon;vivace
;;;soleil à mi-ombre;Astéracées, Composées;juin, juillet, septembre;jaune;persistant;45 à 60 cm;Leucanthemum x superbum 'Goldfinch;divisions;horticole;plante vivace;automne, printemps;;très rustique, -34°C;indifférent;normal à sec;normal, assez drainant;Chrysanthemum x superbum;;;massif;herbacées
;;;ensoleillée;Plantaginacées;juillet-août;violette, rose, blanche;semi-persistant;50 à 70 cm;Linaria purpurea;bouture, semis;Europe;plante herbacée à fleurs;printemps;;très rustique, jusqu'à -26°C;neutre à basique;normal à sec;drainant;;;;massif;plante vivace
;;;mi-ombre;Liliacées;fin de lété;blanc à violet;persistant;30 à 60 cm;Liriope muscari;division de la touffe au printemps;Chine, Japon;plante herbacée, couvre sol;printemps, automne;;rustique, -15°C;ph acide à neutre;normal;tolérant;Liriope platyphylla, Liriope graminifolia;;;parterre, couvre-sol, bordure;vivace
;;les limaces, les araignées rouges;ensoleillé à mi- ombre;Amaryllidacées;été;très variable, jaune, rouge, orange, rose...;caduc;de 60 à 120 cm;Alstroemeria ligtu hybride;semis au chaud, division de la touffe;Amérique du sud, particulièrement le Chili;plante à fleur herbacée;printemps;;-8°C, à protéger;neutre à légèrement acide;normal à frais;riche en humus, drainé, profond, léger pour un bon développement du système racinaire;;;;massif;vivace
;;;soleil, mi-ombre;Campanulacées;été;rouge vif, violet;semi-persistant;de 60 cm à 1 m;Lobelia x speciosa;division de la touffe au printemps, semis en avril;horticole;fleur;printemps;;rustique;neutre;frais;riche, léger;;;;massif, pot, fleur coupée;vivace
;;;ensoleillée;Légumineuses, Fabacées, Papilionacées;juin à juillet;bleu, blanc, rose, jaune, bicolores;caduque à semi-persistant;1,20 m;Lupinus x russellii;semis;horticole;plante ornementale;printemps;;très rustique, jusqu'à -23 °C;acide à neutre;normal;argileux, limoneux ou sablonneux;;;;massif;vivace
;;;ensoleillée à ombre partielle;Caryophyllacées;été;pourpre;persistant;45 cm;Lychnis x arkwrightii;semis;Hybride horticole;plante ornementale;printemps, automne;;très rustique, -34°C;neutre à basique;normal à sec;pauvre et caillouteux, mais tolérant;;;;massif, bouquet;vivace à vie brève
;;;soleil;Caryophyllacées;mai à juillet;rouge, rose, blanc;caduc;90 cm;Lychnis chalcedonica;semis en avril et repiquage à l'automne;Asie;fleur;printemps, automne;;rustique;neutre;normal;ordinaire, bien drainé;;Rabattez complétement les tiges après la floraison;;bordure, massif;vivace
;;;soleil à ombre claire;Primulacées;juillet à septembre;blanc;persistant;0,30 cm;Lysimachia clethroides;division;Chine, Japon;vivace ornementale;printemps, automne;;rusique, jusqu'à -7°C;légèrement acide à légèrement basique;frais;humifère à argileux, même lourd;;;;massif;plante vivace
;;;soleil à ombre claire;Primulacées;juin à septembre;jaune;caduc;0,50 à 0,90 cm;Lysimachia punctata;division;Europe, Asie;plante herbacée;printemps, automne;Lysimachia vulgaris;très rustique, jusqu'à -29°C;légèrement acide à légèrement basique;frais;humifère à argileux, même lourd;;;;ornementale, massif ou bord de bassin, teinture, plante médicinale;plante vivace
;;;soleil à ombre claire;Primulacées;juin à septembre;jaune;caduc;0,50 à 120 cm;Lysimachia vulgaris;division;Europe, Asie;plante herbacée;printemps, automne;Lysimachia punctata;très rustique, jusqu'à -24°C;légèrement acide à basique;frais à submergé;humifère à argileux, même lourd;;;;ornementale, massif ou bord de bassin, teinture, plante médicinale;plante herbacée
;;les limaces, les psylles (feuilles recroquevillées), les punaises, les pucerons, la pourriture grise;soleil;Astéracées, Composées;juin à septembre;blanc;semi-caduc;80 cm;Chrysanthemum maximum;semis en mai, division de la touffe au printemps ou à l'automne;Europe, Asie;fleur;printemps;;rustique;neutre;normal;ordinaire;Leucanthemum x superbum;;;massif, fleur coupée;vivace
;;oïdium, limace;mi-ombre;Papavéracées;été;bleu;caduc;150 cm;Pavot bleu de l'Himalaya, Meconopsis betonicifolia;semis, division des touffes;Tibet, Sud Ouest de la Chine, Myanmar;fleur;printemps/automne;;rustique;acide;frais;drainé, riche;;;;rocaille, massif, sujet isolé;vivace éphémère
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;juin à août;bleu violacée à rose;semi-persistant;5 m de hauteur;Millettia japonica 'Satsuma';marcottages, boutures, semis;Asie;plante grimpante;à l'automne ou au printemps;;rustique jusqu'à -7°C;acide à neutre;normal à humide;sol riche et drainant;Wisteria taiwanensis 'Pinot Noir', Milletia reticulata;après la floraison, et éventuellement en hiver;;palissée sur un mur, une pergola;arbustive
;;;ensoleillée à mi-ombre;Polygonacées;août à septembre;blanchâtre;caduc;jusqu'à 4 m;Muehlenbeckia complexa;printemps, automne;Nouvelle -Zélande;plante vivace;division, bouture, marcottage;;rustique, jusqu'à -12 °C;légèrement acide à légèrement neutre;normal à sec;drainant;Muehlenbeckia microphylla;;;pergola, treillage, clôture, grand mur, couvre-sol;plante rampante et grimpante
;;;soleil, mi-ombre;Malvacées;juin à août;blanc;persistant;0.90 à 2 m;Napea dioica;divisions, semis;Amérique du nord;plante herbacées;printemps, automne;;rustique jusquà -19°C;légèrement acide à légèrement basique;frais à humide;humifère;;;;bord de leau, massif frais;vivace
;;la mouche de l'oeillet, la tordeuse, les pucerons, le thrips, le botrytis, la rouille, l'alternariose;soleil;Caryophyllacées;mai à juillet;rose, rouge, blanc;persistant;30 cm;Dianthus plumarius;semis en avril-mai, bouturage en septembre, division des touffes au printemps ou à l'automne;Europe centrale, Orient;fleur;printemps;;rustique;neutre, calcaire;normal;ordinaire;;;;bordure, massif, rocaille, fleurs coupées;vivace
;;Taches foliaires et mildiou pour les champignons, mais aussi limaces fréquemment ou pourriture des racines dans les sols trop lourds et surtout humides.;Soleil, éventuellement mi-ombre;Onagracées;De mai à septembre;Jaune;Persistant (juste une rosette au ras du sol en hiver);De 30 à 70cm de haut;Oenothera fruticosa, Oenothera linearis;Le semis est le plus indiqué, en mars en caissette. On peut le diviser en mars. Enfin le bouturage herbacé sur les tiges non florifères marche assez bien, de mai à juillet.;Etats-Unis;Fleur;A l'automne ou au printemps de préférence;;Bonne rusticité, -15°C;Neutre à calcaire;Pas d'excès d'eau. Supporte les sols secs mais la floraison risque d'être moins belle;Indifférent;Oenothera linearis;Les fleurs fanées peuvent être supprimées;Non toxique;En massif;Vivace ou bisannuelle
;;;soleil;Onagracées;juin à septembre;rose, blanche;semi-persistante;jusqu'à 40 cm;Oenothera speciosa;division, semis;Amérique du Nord, Amérique centrale;plante ornementale;printemps;;très rustique, jusqu'à -24°C;légèrement acide à légèrement basique;assez humide à sec;plutôt drainant;;;;massif, potée;plante vivace
;;cochenilles en période trop humide et accariens araignées rouges en periode sèche ou en intérieur;soleil, mi-ombre;Passifloracées;de mai à octobre;bleu et blanc;semi persistant à persistant selon la température;5 à 10m;Passiflora caerulea;semis au chaud, bouturage en juillet-août;Amérique du sud, Brésil;plante grimpante;au printemps;;-15°C, à planter à l'abri du froid et à protéger par paillage ou un voile d'hivernage dans les régions les plus au nord;neutre;éviter les sol trop humides en dehors des periodes de grandes chaleurs;tout type de sol, privilégié un sol léger et drainant;;on peut tailler durant l'été pour limiter son expansion, une bonne taille à 20 à 30 cm du pied en fin de saison ou au début du printemps avant la reprise de la végétation, revigore la plante et améliore la floraison;fruits comestibles;muret, pergola, treillage, bac;vivace
;;;ensoleillée à mi-ombre;Poacées, Graminées;été, automne;rose puis dorée;caduc;150 cm;Pennisetum alopecuroides 'Japonicum';division;Asie et Australie;graminée ornementale;printemps;;rustique jusquà -19°C;légèrement acide à légèrement alcalin;frais;assez riche et drainant;Pennisetum alopecuroides 'Foxtrot';;;massif, en isolé, fleur séchée;vivace herbacée
;;;ensoleillée à mi-ombre;Poacées, Graminées;été, automne;dorée, mauve, verte, brune;caduc;90 cm à 130 cm;Pennisetum alopecuroides;division, semis;Asie et Australie;graminée ornementale;printemps;;rustique jusquà -15°C;légèrement acide à légèrement alcalin;normal à frais;drainant;Pennisetum compressum;;;massif, bordure, fleur séchée;vivace herbacée
;;l'oïdium, les limaces;soleil, mi-ombre;Scrophulariacées;mai à octobre;bleu, pourpre, rouge, rose, blanc ou jaune;persistant;de 30 à 60 cm;Penstemon heterophyllus;semis en mars, bouturage en juillet, division de la touffe au printemps;Amérique du Nord;sous-arbrisseau à fleurs;printemps;;rustique;neutre;normal, voir sec;fertile, bien drainé;;Quand les premiers boutons apparaissent dans la touffe, couper une branche sur deux à 5-10 cm de la souche. Les nouvelles pousses ainsi provoquées fleuriront plus tard et la floraison se prolongera jusqu'en octobre-novembre.;;massif, plate-bande, fleurs coupées;vivace
;;résistant aux maladies et aux insectes;soleil;Labiacées, Lamiacées, Labiées;juillet à septembre;bleu;caduc;de 90 cm à 1,5 m selon les espèces;Perovskia;semis, bouturage herbacé en mai ou bouturage en fin d'été, séparation des drageons;Asie;sous-arbrisseau à fleurs;avril-mai, 3 plantes pour garnir 1 m2 et 50 à 60 cm d’espace vital à chacune;;très rustique, -15°C;neutre, calcaire toléré;sec;bien drainé, pauvre, rocailleux;;rabattre en mars à 10 cm du sol pour favoriser l'apparition de nouvelles pousses florifères;;massif, pot;vivace
;;;ensoleillée à mi-ombre;Polygonacées;juillet à octobre;rose;caduc;100 à 120 cm;Persicaria amplexicaulis;;Himalaya;plante herbacée à fleurs;printemps, automne;;rustique, -26°C;légèrement acide à légèrement neutre;frais à humide;riche;Polygonum amplexicaule, Bistorta amplexicaulis;;;massif, berge;vivace
;;;soleil à mi-ombre;Polygonacées;juillet à octobre;rose;persistant en climat doux;15 cm;Persicaria capitata;semis;Asie, Himalaya;plante herbacée à fleurs;printemps;;rustique, -8°C;neutre;normal à humide;argileuse et humifère;Polygonum capitatum;;;massif, couvre-sol, potée;vivace
;;;mi-ombre;Polygonacées;juillet à octobre;rose;caduc;30 à 40 cm;Persicaria runcinata;;Népal;plante herbacée à fleurs;printemps;;rustique, -20°C;neutre;normal à humide;argileuse et humifère;;;;massif;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;juin-juillet et septembre;rouge écarlate;caduc;3 à 4 m;Phaseolus coccineus;semis;Mexique;plante grimpante;printemps;;peu rustique, -3°C;légèrement acide à légèrement basique;normal;drainant et riche;;;;massif, conteneur, palissée sur un support;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;été;jaune;persistant;1m 50 à 2 m;Phlomis grandiflora;division, bouturage, semis;Turquie;fleur herbacée à sous-arbustive;automne;;rustique, - 14°C;ph neutre à basique;normal à sec;pauvre à riche, supporte le calcaire;;;;plante décorative, huile essentielle;vivace
;;;ensoleillée à mi-ombre;Labiacées, Lamiacées, Labiées;juin à août;jaune;persistant;0,80 à 0,90 m;Phlomis russeliana;division, bouturage, semis;Turquie;herbacées;printemps, automne;;rustique, - 20 °C;légèrement acide à légèrement basique;normal à sec;assez tolérant, survit même en sol lourd;;;;massif, couvre-sol;vivace
;;;ensoleillée à mi-ombre;Labiacées, Lamiacées, Labiées;juin, juillet;rose à pourpre;caduc;1,50 à 1,80 m;Phlomis tuberosa;division, bouturage, semis;Asie, Europe;herbacée;automne;;très rustique, jusqu'à -25°C;ph neutre à basique;sec à frais, mais drainant;pauvre à riche, supporte le calcaire;;;;fond ou milieu de massif, racines comestibles;vivace
;;l'oïdium pour les plus tardifs;soleil, mi-ombre;Polémoniacées;de juillet à octobre;rose, rouge, mauve, bleu, blanc;caduc;de 80 à 120 cm;Phlox paniculata;semis (printemps), division de la touffe (printemps-automne), bouture (printemps);Amérique du nord;fleur;printemps, automne;;rustique, variable selon les variétés;Indifférent;normal à frais;riche, drainé;;rabattez les tiges à 10 cm du sol après la floraison en fin d'automne;;rocaille, massif, muret, fleur coupée;vivace
;;;ensoleillée à ombre légère;Rubiacées;juin à octobre;rose à mauve;semi-persistant;15 à 30 cm;Phuopsis stylosa;division, semis;ouest de l'Asie;plante couvre-sol;printemps;;très rustique, jusqu'à -28 °C;moyennement acide à moyennement basique;tolérant, préfère un sol frais;ordinaire;Crucianella stylosa;;;massif, bordure, pente, rocaille, potée;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;août à octobre;rose, mauve, blanc;caduc;60 à 120 cm;Physostegia virginiana;division, semis;Amérique du nord;plante ornementale;printemps, septembre, octobre;;très rustique, -39°C;légèrement acide à neutre;normal à frais;riche et drainant;Dracocephalum denticulatum, Dracocephalum virginiana;;;massif, lisière de bois;vivace
;;résistant aux maladies et aux insectes ravageurs;soleil, mi-ombre;Phytolaccacées;de juin à octobre;blanc-rose;caduc;jusqu'à 4 m;Phytolacca americana;semis au printemps;Amérique du nord, Mexique;vivace dressée ramifiée;printemps;;rustique;neutre;frais;sol riche en humus;;coupez les tiges disgraçieuses;baies toxiques en cas d'ingestion;haie libre;vivace
;;l'oïdium, la bactériose, la fusariose, la pourriture du collet, les limaces;ensoleillée à  mi ombre;Renonculacées;de lété jusquà lautomne;bleu, rose, violet, blanc;disparait complètement en hiver;0,50 m à 2.40 m;Delphinium;semis en août pour les vivaces et en mars pour les annuels, division de la touffe au printemps;Asie;fleur;à lautomne ou au printemps;;rustique;neutre;normal;fertile, profond, frais;;rabattez court les tiges florales après la floraison, pour une remontée en août-septembre;;massif;vivace, annuel
;;;soleil à mi-ombre;Campanulacées;juillet à septembre;bleu;caduc;60 à 90 cm;Platycodon grandiflorus;semis;Asie;plante vivace à fleurs;automne, printemps;;très rustique, -35°C;légèrement acide à neutre;normal à frais;argileux, limoneux;Campanula glauca, Platycodon glaucus;;;massif;vivace herbacée
;;;mi-ombre;Polygalacées;avril à août;violette et jaune;persistant;10 à 20 cm;Polygala chamaebuxus var.grandiflora;semis;Alpes;plante vivace, buissonnante;printemps, automne;;rustique, -12°C9;légèrement acide à basique;normal à sec;humifère et graveleux;;;;massif, rocaille, potée;vivace
;;;mi-ombre à ensoleillée;Polygonacées;mai à août;rose;caduc;60 à 120 cm;Persicaria bistorta;;Europe du Nord, Asie;plante herbacée à fleurs;printemps, automne;;très rustique, jusqu'à -25 °C;légèrement acide à légèrement basique;frais à humide;riche;Polygonum bistorta , Bistorta officinalis;;;massif, berge, plante médicinale, comestible;plante vivace
;;limaces, araignées rouges;ombre;Primulacées;de mai à juillet;jaune, violet selon les espèces;persistant à semi-persistant;de 20 à 30 cm;Primula section candelabra;propagation par semis naturel, division de la touffe après la floraison;Chine, Birmanie selon les espèces;fleurs;printemps, automne;;rustique;neutre à acide;frais à humide;ordinaire;;pas de taille;;bordure, rocaille, bord de bassin ou de ruisseau, pot, jardinière;vivace
;;;mi-ombre à ombre légère;Primulacées;juillet à septembre;rose, blanc, bleuté;caduc;15 à 30 cm;Primula sieboldii;semis;Asie;plante ornementale;printemps;;très rustique, -24°C;acide à neutre;frais à humide;humifère;;;;massif, rocaille fraiche, fleurs coupées;vivace
;;limaces, araignées rouges;mi-ombre;Primulacées;de mai à juillet;lilas;persistant;de 20 à 50 cm;Primula vialii;divisez la touffe après la floraison;Chine;fleur;printemps;;rustique;neutre à acide;frais à humide;sol ordinaire;;pas de taille;;bordure de massifs ou de bassin, rocaille, pot, jardinière;vivace
;;;soleil, mi-ombre;Astéracées, Composées;juin à août;jaune;persistant;1 à 2 cm;Raoulia australis;automne, printemps;Nouvelle-Zélande;plante alpine;divisions, semis;;rustique jusquà - 15°C;moyennement acide à neutre;frais;minéral et drainant;Raoulia lutescens;;;rocaille, potée;vivace
;;;soleil;Astéracées, Composées;été;jaune;persistant;5 à 10 cm;Raoulia hookeri;division, semis;Nouvelle-Zélande;plante alpine;automne, printemps;;rustique jusqu'à -17°C;moyennement acide à neutre;frais à sec;minéral et drainant;;;;rocaille, potée;vivace
;;;ensoleillée à ombre légère;Asparagacées;juin à août;rose;persistant;15 à 30 cm;Reineckea carnea;division, semis;Chine, Japon;plante vivace;printemps, automne;;rustique -16°C;tolérant;normal à frais;fertile;;;;couvre-sol, bordure, massif;persistant
;;;mi-ombre;Zingibéracées;juillet à septembre;jaune, blanc, rose ou mauve;caduc;15 à 60 cm;Roscoea cautleoides;semis, divisions;Chine, des provinces du Sichuan et du Yunnan;plante rhizomateuse;printemps;;très rustique, jusqu'à -20 °C;légèrement acide à légèrement alcalin;normal à frais;riche et drainant;Roscoea cautleyoides;;;massif, potée;vivace
;;;mi-ombre;Zingibéracées;juillet à septembre;mauve, blanche;caduc;30 à 60 cm;Roscoea purpurea;semis, divisions;Himalaya;plante rhizomateuse;printemps;;rustique, jusqu'à -15 °C;légèrement acide à légèrement alcalin;normal à frais;riche et drainant;Roscoea procera;;;massif, potée;vivace
;;la rouille;soleil, mi-ombre;Malvacées;juillet à septembre;blanc, abricot, rose, rouge, carmin;semi-caduc;de 2 à 3 m;Alcea rosea, Althaea rosea;semis en juin en place puis repiquez-les en septembre;Europe, Asie;fleur;printemps, automne;;rustique;neutre, calcaire;normal, sec;riche, ordinaire;Althaea rosea;;;arrière-plan, devant une haie de conifère, massif, contre un mur;vivace éphémère
;;;soleil à ombre partielle;Astéracées, Composées;juillet à octobre;jaune;persistant;60 à 90 cm;Rudbeckia triloba;divisions;Etats-Unis;plante bisannuelle à vivace de courte durée;automne, printemps;;très rustique, -39°C;légèrement acide à légèrement alcalin;normal à frais, voire humide;drainant;;;;massif, prairie fleurie;herbacée
;;les limaces pour les jeunes pousses;plein soleil;Astéracées, Composées;de juin à septembre;jaune;caduc;de 30 à 180 cm selon les variétés;Rudbeckia;semis en place ou au chaud en avril et repiquez en automne, division de la touffe au printemps ou en automne;Amérique du nord;fleur;printemps, automne;;rustique;neutre, calcaire accepté;normal;ordinaire, drainé;;Rabattre sévèrement au début de l'hiver;;massif, bordure;vivace, certaines sont cultivées commes des annuelles (Rudbeckia hirta)
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin à octobre;aubergine presque noir;caduc;45 à 90 cm;Salvia discolor;bouture;Pérou;semi-grimpante ornementale;printemps;;rustique, -10°C;légèrement acide à légèrement basique;normal à frais;riche et drainant;;;;massif, potée;vivace
;;les pucerons, les limaces, les araignées rouges;soleil;Labiacées, Lamiacées, Labiées;de juillet à octobre;rose;caduc;jusqu'à 1,50 m;Salvia involucrata;semis et bouturage au printemps;Mexique;fleur;printemps;;rustique, pailler le pied l'hiver;neutre;frais;riche en humus, bien drainé;;coupez les fleurs fanées;;massif;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juillet à septembre;bleu-violet;caduc;30 à 90 cm;Salvia nemorosa;division, bouture;de l'Europe à l'Asie centrale;herbacée ornementale;printemps;;très rustique, -29°C;légèrement acide à légèrement basique;normal à moyennement sec;riche et drainant;;;;massif;vivace
;;;ensoleillée à mi-ombre;Labiacées, Lamiacées, Labiées;juillet à octobre;bleu;caduc;90 cm à 180 cm;Salvia uliginosa;division de la touffe, semis au printemps;Amérique du sud;plante fleurie;printemps;;moyennement rustique, -10°C;neutre à basique;frais à humide;tolérant;;;;massif, jardin informel;vivace
;;les limaces, les pucerons;soleil;Labiacées, Lamiacées, Labiées;de juin aux gelées;rouge, crême, violet;persistant;de 30 à 60 cm;Salvia splendens;semis en mars au chaud à 18°C et repiquage en mai;Brésil;fleur;printemps;;10°C;neutre;normal;riche en humus, léger;;;;massif, jardinière;vivace sous climat doux, cultivée comme une annuelle ailleurs
;;limaces, escargots, pourriture des racines;soleil;Labiacées, Lamiacées, Labiées;juillet aux gelées;Blanc, bleu ou bicolore;persistant;60 cm;Salvia farinacea;semis sur couche chaude en mars, division des touffes au printemps, boutures herbacées en été.;Sud des Etats-Unis, Mexique;fleur;printemps;;gélive;neutre;normal;bonne terre de jardin;;;;massif;vivace sous climat doux, cultivée comme une annuelle ailleurs
;;;mi-ombre;Saxifragacées;mai à août;blanc, rose, rouge;persistant;8 à 25 cm;Saxifraga arendsii;division;horticole;plante de rocaille, plante alpine;printemps, automne;;très rustique, -28°C;neutre à basique;normal à frais, qui ne se dessèche pas;drainant;;;;rocaille, auge, devant de massif;persistant
;;;mi-ombre;Saxifragacées;monocarpique, en juillet-aout;blanche;persistant;20 à 80 cm;Saxifraga longifolia;semis;Europe, Pyrénéen;plante de rocaille, plante alpine;printemps;;rustique, -19°C;basique;normal;pauvre et drainant;;;;rocaille, potée;vivace
;;;mi-ombre;Saxifragacées;juillet-août;jaune pâle;persistant;8 cm;Saxifraga moschata;semis;Europe, Asie;plante de rocaille, plante alpine;printemps;;rustique, -19°C;basique;normal;pauvre et drainant;;;;rocaille, potée;vivace
;;les limaces;plein soleil;Dipsacacées;de juin aux gelées;mauve, bleu, rose, pourpre, blanc, jaune;persistant ou caduc;de 30 à 80 cm selon les espèces et les variétés;Scabiosa;semis, division de la touffe;Caucase;fleur;printemps, automne;;rustique;neutre, alcalin;normal;fertile, bien drainé;;;;massif, fleurs coupées;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juin, juillet, août;mauve;persistant;60cm;Stachys byzantina;division, bouture, semis;Asie mineure, Caucase, Turquie;plante herbacée, couvre sol;printemps, automne;;rustique, - 19°C;tolérant, aime le calcaire;normal à sec;tolérant;Stachys lanata;;;massif;vivace
;;;soleil à mi-ombre;Astéracées, Composées;août à octobre;bleu;persistant;30 à 50 cm;Stokesia laevis;divisions, semis;Chine;plante vivace;printemps;;très rustique jusqu'à -28 °C;acide à neutre;normal;drainant;Stokesia  cyanea, Carthamus laevis;;;massif, fleur coupée;herbacée
;;parfois l'oïdium, attention aux limaces au démarrage de la végétation;mi-ombre;Renonculacées;juillet, août;mauve;caduc;90 cm à 120 cm;Thalictrum delavayi;semis, division;Chine;plante ornementale;automne, printemps;;très rustique, -24°C;légèrement acide à légèrement alcalin;normal à frais;riche, limoneux à tendance calcaire;Thalictrum dipterocarpum;;;massif, fleurs coupées;vivace
;;;soleil à mi-ombre;Renonculacées;juillet à septembre;mauve;caduc;jusqu'à 2 m;Thalictrum rochebrunianum;semis, division;Japon;plante ornementale;automne, printemps, été à partir de plante en pot;;très rustique, -30°C;légèrement acide à légèrement alcalin;frais;riche, humifère;Thalictrum dipterocarpum;;;massif, arrière-plan;vivace
;;;mi-ombre;Commelinacées;été;bleu, rose, blanc;caduc;60 cm;Tradescantia x andersoniana;semis, divisions;Amérique du nord;plante herbacée à fleurs;printemps, fin dété;;très rustique, -34°C;acide à légèrement basique;normal à humide;argileux ou sablonneux, mais assez riche;Tradescantia virginiana;;;massif;vivace
;;escargots et limaces;mi-ombre, ombre;Liliacées;en général de juillet à septembre;fleurs tachetées violet, blanc, jaune;caduc;de 30 à 80 cm;Tricyrtis formosana;semis, division de la touffe à la fin de l'hiver;Japon, Himalaya, Asie;vivace rhizomateuse;automne;;rustique;neutre;frais;riche en humus, bien drainé;;;;massif;vivace
;;attention à la pourriture l'hiver si le sol n'est pas bien drainé;soleil;Liliacées;de mai à octobre selon les variétés;rouge-orange;persistant;1,20 m;Kniphofia;semis au printemps, division de la touffe en mai;Afrique du sud, Madagascar;fleur;automne, assurez un bon drainage à la plantation;;moyennement rustique, protéger le pied dans les régions froides en posant un voile d'hivernage autour du pied ou un paillage;neutre;normal à sec;riche, léger, sableux;;pas de taille nécessaire;;massif, fleurs coupées;vivace
;;limaces/escargots;ensoleillée à mi-ombre;Renonculacées;mai à août;jaune;caduc;0,50 à 1,20 m;Trollius europaeus;semis, divisions;Europe;plante ornementale, plante indigène;printemps, automne;;très rustique, -20 °C;acide à légèrement basique;frais à humide;sols lourds et riches;;;;massif, berge, zone humide;vivace
;;;ensoleillée à mi-ombre;Asclépiadacées;mai à septembre;bleu;persistante;50 cm à 1m;Tweedia caerulea;semis, boutures;Brésil, Uruguay;sous-arbrisseau rampant ou semi-grimpant;printemps, automne;;rustique jusquà -10°C;légèrement acide à légèrement basique;normal à sec;moyennement pauvre et drainant;Oxypetalum cearuleum;;;massif, conteneur;plante vivace
;;les pucerons;plein soleil;Verbénacées;juin à novembre;lilas;semi-persistant;60 cm  à 1 m 50;Verbena bonariensis;semis au chaud en mars, division des touffes au printemps ou bouturage;Brésil, Argentine;herbacée;printemps;;rustique jusqu'à -7°C;moyennement acide à moyennement basique;normal à très sec;riche en humus, bien drainé, léger;Verbena patagonica;coupez les tiges défleuries;;massif, couvre-sol, talus;vivace
;;;soleil;Verbénacées;juin à novembre;pourpre;semi-persistant;80 à 150 cm;Verbena macdougalii;boutures, semis;Amérique du Nord, Amérique centrale;plante vivace parfois cultivée en annuelle;printemps;;rustique jusqu'à - 7 °C, et bien davantage pour la variété  'Lavender Spires';moyennement acide à moyennement basique;sec à frais;drainant;Verbena venosa;;;massif, talus;herbacée
;;;soleil;Verbénacées;juin à novembre;pourpre;semi-persistant;30 à 45 cm;Verbena rigida;boutures, semis;Amérique du sud;plante vivace parfois cultivée en annuelle;printemps;;moyennement rustique, jusquà -14°C;moyennement acide à moyennement basique;normal à très sec;drainant;Verbena venosa;;;massif, couvre-sol, talus;herbacée
;;;ensoleillée;Plantaginacées;juillet, août;blanc;caduc;1m;Veronica longifolia;bouture, semis;Europe;plante herbacée à fleurs;printemps, été;;rustique, -25 °C;neutre à basique;normal;riche, de type argileux;;;;massif;vivace
